E_COMMODITY_LDESC,QTY_1_MO,UNIT_QY1,YEAR,MONTH,E_COMMODITY
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",19381960,KG,2017,10,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",20646159,KG,2017,11,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",20450707,KG,2017,12,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",20181467,KG,2018,01,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",19274532,KG,2018,02,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",22252204,KG,2018,03,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",18988935,KG,2018,04,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",22521234,KG,2018,05,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",20344883,KG,2018,06,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",15588658,KG,2018,07,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",20549603,KG,2018,08,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",16004981,KG,2018,09,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",16382280,KG,2018,10,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",16575733,KG,2018,11,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",13274559,KG,2018,12,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",14394295,KG,2019,01,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",11819361,KG,2019,02,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",15925809,KG,2019,03,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",13793622,KG,2019,04,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",12970872,KG,2019,05,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",12797845,KG,2019,06,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",11208721,KG,2019,07,0404104000
