E_COMMODITY_LDESC,QTY_1_MO,UNIT_QY1,YEAR,MONTH,E_COMMODITY,STATE,ALL_VAL_MO,E_COMMODITY.1
"MODIFIED WHEY, NESOI",9758750.0,KG,2019,11,404100850,,,
"MODIFIED WHEY, NESOI",11376350.0,KG,2019,12,404100850,,,
"MODIFIED WHEY, NESOI",11808380.0,KG,2020,1,404100850,,,
"MODIFIED WHEY, NESOI",8658387.0,KG,2020,2,404100850,,,
"MODIFIED WHEY, NESOI",12331811.0,KG,2020,3,404100850,,,
"MODIFIED WHEY, NESOI",8941373.0,KG,2020,4,404100850,,,
"MODIFIED WHEY, NESOI",10883590.0,KG,2020,5,404100850,,,
"MODIFIED WHEY, NESOI",11430277.0,KG,2020,6,404100850,,,
"MODIFIED WHEY, NESOI",9228570.0,KG,2020,7,404100850,,,
"MODIFIED WHEY, NESOI",12191973.0,KG,2020,8,404100850,,,
"MODIFIED WHEY, NESOI",10097864.0,KG,2020,9,404100850,,,
"MODIFIED WHEY, NESOI",12943272.0,KG,2020,10,404100850,,,
"MODIFIED WHEY, NESOI",13722891.0,KG,2020,11,404100850,,,
"MODIFIED WHEY, NESOI",15152286.0,KG,2020,12,404100850,,,
"MODIFIED WHEY, NESOI",13195928.0,KG,2021,1,404100850,,,
"MODIFIED WHEY, NESOI",13626504.0,KG,2021,2,404100850,,,
"MODIFIED WHEY, NESOI",14699376.0,KG,2021,3,404100850,,,
"MODIFIED WHEY, NESOI",17603133.0,KG,2021,4,404100850,,,
"MODIFIED WHEY, NESOI",18638576.0,KG,2021,5,404100850,,,
"MODIFIED WHEY, NESOI",16821756.0,KG,2021,6,404100850,,,
"MODIFIED WHEY, NESOI",16759294.0,KG,2021,7,404100850,,,
"MODIFIED WHEY, NESOI",18881013.0,KG,2021,8,404100850,,,
"MODIFIED WHEY, NESOI",14914437.0,KG,2021,9,404100850,,,
"MODIFIED WHEY, NESOI",15502180.0,KG,2021,10,404100850,,,
"MODIFIED WHEY, NESOI",15852613.0,KG,2021,11,404100850,,,
"MODIFIED WHEY, NESOI",12482206.0,KG,2021,12,404100850,,,
"MODIFIED WHEY, NESOI",13727774.0,KG,2022,1,404100850,,,
"MODIFIED WHEY, NESOI",15511075.0,KG,2022,2,404100850,,,
"MODIFIED WHEY, NESOI",17432832.0,KG,2022,3,404100850,,,
"WHEY PROTEIN CONCENTRATES, MODIFIED WHEY, WHETHER OR NOT CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER",8466855.0,KG,2013,1,404100500,,,
"WHEY PROTEIN CONCENTRATES, MODIFIED WHEY, WHETHER OR NOT CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER",8433414.0,KG,2013,2,404100500,,,
"WHEY PROTEIN CONCENTRATES, MODIFIED WHEY, WHETHER OR NOT CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER",8637174.0,KG,2013,3,404100500,,,
"WHEY PROTEIN CONCENTRATES, MODIFIED WHEY, WHETHER OR NOT CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER",9591321.0,KG,2013,4,404100500,,,
"WHEY PROTEIN CONCENTRATES, MODIFIED WHEY, WHETHER OR NOT CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER",11995206.0,KG,2013,5,404100500,,,
