E_COMMODITY_LDESC,QTY_1_MO,UNIT_QY1,YEAR,MONTH,E_COMMODITY,STATE,ALL_VAL_MO,E_COMMODITY.1
FLOURS AND MEALS OF SOYBEANS,340155140.0,KG,2019,1,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,196960878.0,KG,2019,2,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,291707972.0,KG,2019,3,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,241876480.0,KG,2019,4,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,181656580.0,KG,2019,5,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,214406589.0,KG,2019,6,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,78542002.0,KG,2019,7,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,119555752.0,KG,2019,8,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,175405633.0,KG,2019,9,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,225088143.0,KG,2019,10,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,253579240.0,KG,2019,11,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,210657439.0,KG,2019,12,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,244194128.0,KG,2020,1,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,224756677.0,KG,2020,2,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,228972459.0,KG,2020,3,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,224690979.0,KG,2020,4,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,229895149.0,KG,2020,5,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,234629463.0,KG,2020,6,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,241401220.0,KG,2020,7,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,233039410.0,KG,2020,8,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,220203436.0,KG,2020,9,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,260330742.0,KG,2020,10,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,221093372.0,KG,2020,11,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,302119916.0,KG,2020,12,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,271401571.0,KG,2021,1,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,310647496.0,KG,2021,2,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,206458329.0,KG,2021,3,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,179797768.0,KG,2021,4,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,209194319.0,KG,2021,5,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,170526807.0,KG,2021,6,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,264391249.0,KG,2021,7,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,187267631.0,KG,2021,8,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,129699483.0,KG,2021,9,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,173986132.0,KG,2021,10,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,186151201.0,KG,2021,11,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,197486316.0,KG,2021,12,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,207618688.0,KG,2022,1,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,172032020.0,KG,2022,2,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,167076845.0,KG,2022,3,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,,,2016,12,120810,-,78047079.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2016,12,120810,CA,186256.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2016,12,120810,CO,0.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2016,12,120810,FL,45109.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2016,12,120810,GA,279641.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2016,12,120810,IA,422898.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2016,12,120810,IL,5433480.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2016,12,120810,LA,6650307.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2016,12,120810,IN,138000.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2016,12,120810,KS,2439496.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2016,12,120810,KY,0.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2016,12,120810,ME,0.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2016,12,120810,MI,388101.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2016,12,120810,MN,3704541.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2016,12,120810,MO,771324.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2016,12,120810,MS,0.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2016,12,120810,NC,0.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2016,12,120810,ND,0.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2016,12,120810,NE,0.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2016,12,120810,NJ,0.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2016,12,120810,NV,114943.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2016,12,120810,NY,21240.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2016,12,120810,OH,539977.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2016,12,120810,PA,0.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2016,12,120810,PR,0.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2016,12,120810,SC,369722.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2016,12,120810,SD,1209442.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2016,12,120810,TN,0.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2016,12,120810,TX,36490.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2016,12,120810,VA,1771625.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2016,12,120810,VT,17282.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2016,12,120810,WA,53107249.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2016,12,120810,WI,394597.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2016,12,120810,XX,5359.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2017,10,120810,FL,5060.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2017,10,120810,-,42861596.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2017,10,120810,AR,0.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2017,10,120810,CA,142800.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2017,10,120810,CO,0.0,120810.0
