E_COMMODITY_LDESC,QTY_1_MO,UNIT_QY1,YEAR,MONTH,E_COMMODITY,STATE,ALL_VAL_MO,E_COMMODITY.1
SOYBEAN SEEDS OF A KIND USED FOR SOWING,19295053.0,KG,2017,7,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,13608049.0,KG,2017,8,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,4357289.0,KG,2017,9,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,5978889.0,KG,2017,10,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,6868205.0,KG,2017,11,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,7658383.0,KG,2017,12,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,4329638.0,KG,2018,1,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,6610041.0,KG,2018,2,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,9466049.0,KG,2018,3,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,7941224.0,KG,2018,4,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,8075579.0,KG,2018,5,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,19952189.0,KG,2018,6,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,7061690.0,KG,2018,7,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,70896445.0,KG,2018,8,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,3540586.0,KG,2018,9,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,35093388.0,KG,2018,10,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,39690507.0,KG,2018,11,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,6275563.0,KG,2018,12,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,5786211.0,KG,2019,1,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,4287756.0,KG,2019,2,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,7568762.0,KG,2019,3,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,5651628.0,KG,2019,4,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,6163769.0,KG,2019,5,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,34230604.0,KG,2019,6,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,2087895.0,KG,2019,7,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,5674665.0,KG,2019,8,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,5154607.0,KG,2019,9,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,8422317.0,KG,2019,10,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,8950480.0,KG,2019,11,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,6892394.0,KG,2019,12,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,6610515.0,KG,2020,1,1201100000,,,
