E_COMMODITY_LDESC,QTY_1_YR,UNIT_QY1,YEAR,MONTH,E_COMMODITY
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",51968722,KG,2018,06,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",64394476,KG,2018,07,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",74823510,KG,2018,08,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",80503012,KG,2018,09,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",87821269,KG,2018,10,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",96272191,KG,2018,11,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",103314957,KG,2018,12,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",5989634,KG,2019,01,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",11791778,KG,2019,02,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",19172393,KG,2019,03,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",28610991,KG,2019,04,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",35903837,KG,2019,05,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",47916013,KG,2019,06,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",65917077,KG,2019,07,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",78194643,KG,2019,08,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",86904852,KG,2019,09,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",105562963,KG,2019,10,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",119542776,KG,2019,11,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",129841798,KG,2019,12,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",8160816,KG,2020,01,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",15104666,KG,2020,02,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",22483101,KG,2020,03,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",35494114,KG,2020,04,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",52488506,KG,2020,05,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",60680899,KG,2020,06,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",68762830,KG,2020,07,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",77228136,KG,2020,08,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",90078666,KG,2020,09,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",104421237,KG,2020,10,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",112726647,KG,2020,11,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",120612526,KG,2020,12,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",7055138,KG,2021,01,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",19309822,KG,2021,02,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",29447382,KG,2021,03,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",38917246,KG,2021,04,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",47186441,KG,2021,05,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",55111862,KG,2021,06,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",61686259,KG,2021,07,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",68985830,KG,2021,08,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",73193496,KG,2021,09,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",78687142,KG,2021,10,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",102135961,KG,2021,11,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",111011452,KG,2021,12,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",17606454,KG,2022,01,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",25720502,KG,2022,02,1103130020
