E_COMMODITY_LDESC,QTY_1_MO,UNIT_QY1,YEAR,MONTH,E_COMMODITY
SOYBEAN SEEDS OF A KIND USED FOR SOWING,6610041,KG,2018,02,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,9466049,KG,2018,03,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,7941224,KG,2018,04,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,8075579,KG,2018,05,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,19952189,KG,2018,06,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,7061690,KG,2018,07,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,70896445,KG,2018,08,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,3540586,KG,2018,09,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,35093388,KG,2018,10,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,39690507,KG,2018,11,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,6275563,KG,2018,12,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,5786211,KG,2019,01,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,4287756,KG,2019,02,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,7568762,KG,2019,03,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,5651628,KG,2019,04,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,6163769,KG,2019,05,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,34230604,KG,2019,06,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,2087895,KG,2019,07,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,5674665,KG,2019,08,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,5154607,KG,2019,09,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,8422317,KG,2019,10,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,8950480,KG,2019,11,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,6892394,KG,2019,12,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,6610515,KG,2020,01,1201100000
