CultGin_QTY,CultGin_Unit,YEAR,MONTH,WildGin_QTY,WildGin_Unit,QTY_1_YR,Nationa_Value,WI_Value
,,2014,6,,,,25685718.0,13409819.0
,,2014,7,,,,29021310.0,13540896.0
,,2014,8,,,,29162943.0,13650034.0
,,2014,9,,,,29949086.0,13650034.0
,,2014,10,,,,42910830.0,16908121.0
,,2014,11,,,,59782824.0,22025846.0
,,2014,12,,,,77301151.0,28234971.0
,,2015,1,,,,14342896.0,5364502.0
,,2015,2,,,,16830491.0,5939621.0
,,2015,3,,,,24814683.0,10566963.0
,,2015,4,,,,26157075.0,11861322.0
,,2015,5,,,,28997296.0,13869970.0
,,2015,6,,,,29918055.0,14603860.0
,,2015,7,,,,31137110.0,15608657.0
,,2015,8,,,,31677457.0,16076721.0
,,2015,9,,,,32049540.0,16266221.0
,,2015,10,,,,36278422.0,18048727.0
,,2015,11,,,,43659658.0,20157294.0
,,2015,12,,,,55949624.0,24629352.0
,,2016,1,,,,7972906.0,3127831.0
,,2016,2,,,,10090486.0,3846504.0
,,2016,3,,,,13095893.0,5297132.0
,,2016,4,,,,14275572.0,6399940.0
,,2016,5,,,,16556882.0,8347805.0
,,2016,6,,,,20914831.0,10687450.0
,,2016,7,,,,23092382.0,12762102.0
,,2016,8,,,,23610582.0,13126692.0
,,2016,9,,,,24113147.0,13548057.0
,,2016,10,,,,27604056.0,16334672.0
,,2016,11,,,,35167145.0,20104194.0
,,2016,12,,,,43377291.0,24314697.0
