E_COMMODITY_LDESC,QTY_1_MO,UNIT_QY1,YEAR,MONTH,E_COMMODITY
"MODIFIED WHEY, NESOI",9850278,KG,2019,09,0404100850
"MODIFIED WHEY, NESOI",8614649,KG,2019,10,0404100850
"MODIFIED WHEY, NESOI",9758750,KG,2019,11,0404100850
"MODIFIED WHEY, NESOI",11376350,KG,2019,12,0404100850
"MODIFIED WHEY, NESOI",11808380,KG,2020,01,0404100850
"MODIFIED WHEY, NESOI",8658387,KG,2020,02,0404100850
"MODIFIED WHEY, NESOI",12331811,KG,2020,03,0404100850
"MODIFIED WHEY, NESOI",8941373,KG,2020,04,0404100850
"MODIFIED WHEY, NESOI",10883590,KG,2020,05,0404100850
"MODIFIED WHEY, NESOI",11430277,KG,2020,06,0404100850
"MODIFIED WHEY, NESOI",9228570,KG,2020,07,0404100850
"MODIFIED WHEY, NESOI",12191973,KG,2020,08,0404100850
"MODIFIED WHEY, NESOI",10097864,KG,2020,09,0404100850
"MODIFIED WHEY, NESOI",12943272,KG,2020,10,0404100850
"MODIFIED WHEY, NESOI",13722891,KG,2020,11,0404100850
"MODIFIED WHEY, NESOI",15152286,KG,2020,12,0404100850
"MODIFIED WHEY, NESOI",13195928,KG,2021,01,0404100850
"MODIFIED WHEY, NESOI",13626504,KG,2021,02,0404100850
"MODIFIED WHEY, NESOI",14699376,KG,2021,03,0404100850
"MODIFIED WHEY, NESOI",17603133,KG,2021,04,0404100850
"MODIFIED WHEY, NESOI",18638576,KG,2021,05,0404100850
"MODIFIED WHEY, NESOI",16821756,KG,2021,06,0404100850
"MODIFIED WHEY, NESOI",16759294,KG,2021,07,0404100850
"MODIFIED WHEY, NESOI",18881013,KG,2021,08,0404100850
"MODIFIED WHEY, NESOI",14914437,KG,2021,09,0404100850
"MODIFIED WHEY, NESOI",15502180,KG,2021,10,0404100850
"MODIFIED WHEY, NESOI",15852613,KG,2021,11,0404100850
"MODIFIED WHEY, NESOI",12482206,KG,2021,12,0404100850
"MODIFIED WHEY, NESOI",13727774,KG,2022,01,0404100850
"MODIFIED WHEY, NESOI",15511075,KG,2022,02,0404100850
"MODIFIED WHEY, NESOI",17432832,KG,2022,03,0404100850
