E_COMMODITY,E_COMMODITY_LDESC,QTY_1_YR,QTY_1_YR_FLAG,QTY_2_YR,QTY_2_YR_FLAG,YEAR,MONTH,E_COMMODITY
0810400050,"CRANBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM EXCEPT BLUEBERRIES, FRESH, NESOI",110761,-,0,-,2016,01,0810400050
0810400050,"CRANBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM EXCEPT BLUEBERRIES, FRESH, NESOI",419977,-,0,-,2016,02,0810400050
0810400050,"CRANBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM EXCEPT BLUEBERRIES, FRESH, NESOI",513318,-,0,-,2016,03,0810400050
0810400050,"CRANBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM EXCEPT BLUEBERRIES, FRESH, NESOI",633953,-,0,-,2016,04,0810400050
0810400050,"CRANBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM EXCEPT BLUEBERRIES, FRESH, NESOI",1441155,-,0,-,2016,05,0810400050
0810400050,"CRANBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM EXCEPT BLUEBERRIES, FRESH, NESOI",3130291,-,0,-,2016,06,0810400050
0810400050,"CRANBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM EXCEPT BLUEBERRIES, FRESH, NESOI",3671396,-,0,-,2016,07,0810400050
0810400050,"CRANBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM EXCEPT BLUEBERRIES, FRESH, NESOI",3907661,-,0,-,2016,08,0810400050
0810400050,"CRANBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM EXCEPT BLUEBERRIES, FRESH, NESOI",4575971,-,0,-,2016,09,0810400050
0810400050,"CRANBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM EXCEPT BLUEBERRIES, FRESH, NESOI",5354272,-,0,-,2016,10,0810400050
0810400050,"CRANBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM EXCEPT BLUEBERRIES, FRESH, NESOI",6093475,-,0,-,2016,11,0810400050
0810400050,"CRANBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM EXCEPT BLUEBERRIES, FRESH, NESOI",6428657,-,0,-,2016,12,0810400050
0810400050,"CRANBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM EXCEPT BLUEBERRIES, FRESH, NESOI",35651,-,0,-,2017,01,0810400050
0810400050,"CRANBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM EXCEPT BLUEBERRIES, FRESH, NESOI",62348,-,0,-,2017,02,0810400050
0810400050,"CRANBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM EXCEPT BLUEBERRIES, FRESH, NESOI",147014,-,0,-,2017,03,0810400050
0810400050,"CRANBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM EXCEPT BLUEBERRIES, FRESH, NESOI",298344,-,0,-,2017,04,0810400050
0810400050,"CRANBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM EXCEPT BLUEBERRIES, FRESH, NESOI",451939,-,0,-,2017,05,0810400050
0810400050,"CRANBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM EXCEPT BLUEBERRIES, FRESH, NESOI",587907,-,0,-,2017,06,0810400050
