E_COMMODITY_LDESC,QTY_1_MO,UNIT_QY1,YEAR,MONTH,E_COMMODITY
"MODIFIED WHEY, NESOI",15152286,KG,2020,12,404100850
"MODIFIED WHEY, NESOI",13195928,KG,2021,1,404100850
"MODIFIED WHEY, NESOI",13626504,KG,2021,2,404100850
"MODIFIED WHEY, NESOI",14699376,KG,2021,3,404100850
"MODIFIED WHEY, NESOI",17603133,KG,2021,4,404100850
"MODIFIED WHEY, NESOI",18638576,KG,2021,5,404100850
"MODIFIED WHEY, NESOI",16821756,KG,2021,6,404100850
"MODIFIED WHEY, NESOI",16759294,KG,2021,7,404100850
"MODIFIED WHEY, NESOI",18881013,KG,2021,8,404100850
"MODIFIED WHEY, NESOI",14914437,KG,2021,9,404100850
"MODIFIED WHEY, NESOI",15502180,KG,2021,10,404100850
"MODIFIED WHEY, NESOI",15852613,KG,2021,11,404100850
"MODIFIED WHEY, NESOI",12482206,KG,2021,12,404100850
"MODIFIED WHEY, NESOI",13727774,KG,2022,1,404100850
"MODIFIED WHEY, NESOI",15511075,KG,2022,2,404100850
"MODIFIED WHEY, NESOI",17432832,KG,2022,3,404100850
"WHEY PROTEIN CONCENTRATES, MODIFIED WHEY, WHETHER OR NOT CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER",8466855,KG,2013,1,404100500
"WHEY PROTEIN CONCENTRATES, MODIFIED WHEY, WHETHER OR NOT CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER",8433414,KG,2013,2,404100500
"WHEY PROTEIN CONCENTRATES, MODIFIED WHEY, WHETHER OR NOT CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER",8637174,KG,2013,3,404100500
"WHEY PROTEIN CONCENTRATES, MODIFIED WHEY, WHETHER OR NOT CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER",9591321,KG,2013,4,404100500
"WHEY PROTEIN CONCENTRATES, MODIFIED WHEY, WHETHER OR NOT CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER",11995206,KG,2013,5,404100500
